 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
9.35 
1564182333.07
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   8	   5	   8	   5	   9	   6	   8	
  25.6	  11	  16	  10	  16	  10	  17	  11	  16	
  51.2	  21	  32	  20	  32	  20	  34	  21	  32	
 102.4	  42	  64	  40	  63	  40	  67	  42	  63	
 204.8	  83	 128	  80	 126	  79	 133	  84	 126	
 409.6	 166	 256	 159	 251	 157	 265	 167	 251	
 819.2	 331	 511	 318	 502	 314	 529	 334	 501	
1638.4	 661	1021	 634	1002	 626	1056	 666	1001	
3276.8	1317	2037	1264	2000	1248	2107	1329	1995	
