 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.30 
1562039634.49
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  89	 139	  85	 137	  87	 144	  94	 142	
 409.6	 178	 278	 169	 273	 173	 287	 187	 283	
 819.2	 355	 556	 338	 545	 346	 574	 375	 565	
1638.4	 708	1111	 675	1089	 691	1147	 748	1129	
3276.8	1414	2218	1348	2173	1379	2289	1493	2252	
