 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.27 
1563495551.52
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  19	  33	  20	  35	  22	  34	
 102.4	  41	  67	  38	  65	  40	  69	  44	  67	
 204.8	  80	 133	  76	 129	  80	 136	  86	 133	
 409.6	 160	 265	 151	 257	 160	 272	 172	 266	
 819.2	 319	 527	 300	 511	 318	 541	 343	 530	
1638.4	 638	1054	 600	1023	 635	1083	 686	1060	
3276.8	1274	2106	1199	2043	1267	2162	1369	2116	
