 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
21.33 
1564222310.0
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  34	
 102.4	  40	  66	  38	  64	  40	  68	  43	  67	
 204.8	  80	 132	  75	 128	  79	 135	  86	 133	
 409.6	 159	 263	 149	 255	 158	 270	 171	 265	
 819.2	 317	 526	 298	 510	 316	 540	 342	 529	
1638.4	 632	1050	 595	1018	 631	1077	 682	1055	
3276.8	1260	2093	1185	2029	1257	2147	1359	2102	
